id,account_name,country,city,segment,sap_partner_ref,is_active,created_at
CRM-000001,Corporativo Regio SAPI de CV,México,Santiago,Business,0001000204,false,2024-10-09T00:00:00
CRM-000002,Distribuidora Continental SA,US,Houston,Business,,true,2023-11-12T00:00:00
CRM-000003,MARIA RIVERA FLORES,CHL,Houston,Retail,0001000230,false,2021-02-01T00:00:00
CRM-000004,Corporativo del Golfo S.A.,Mexico,Guadalajara,Premier,,false,2021-03-25T00:00:00
CRM-000005,CORPORATIVO DEL GOLFO SA DE CV,Chile,Santiago,Corporate,0001000123,true,2024-08-31T00:00:00
CRM-000006,Servicios Peninsular S.A. de C.V.,US,Santiago,Business,,true,2023-12-02T00:00:00
CRM-000007,Ana Rivera Sanchez,United States,Santiago,Premier,0001000293,true,2023-10-02T00:00:00
CRM-000008,Rosa Sanchez Garcia,Estados Unidos,Monterrey,Retail,,true,2023-11-15T00:00:00
CRM-000009,GRUPO DEL PACIFICO SAPI DE CV,Mexico,Guadalajara,Retail,,true,2024-09-09T00:00:00
CRM-000010,Luis Torres Rodriguez,México,Santiago,Corporate,,true,2022-03-13T00:00:00
CRM-000011,JOSE PEREZ LOPEZ,México,CDMX,Business,0001000189,true,2021-11-24T00:00:00
CRM-000012,Juan Lopez Hernandez,Mexico ,Houston,Corporate,,false,2024-08-17T00:00:00
CRM-000013,Corporativo del Pacifico S.A.,MEX,Santiago,Premier,0001000138,false,2023-07-10T00:00:00
CRM-000014,Comercial del Bajio SA de CV ,Chile,CDMX,Business,0001000244,true,2022-04-09T00:00:00
CRM-000015,Luis Flores Gonzalez,United States,Guadalajara,Retail,0001000150,true,2021-01-17T00:00:00
CRM-000016,CONSTRUCTORA CENTRAL SAPI DE CV,MX,CDMX,Business,,true,2023-03-03T00:00:00
CRM-000017,Juan Lopez Perez,Mexico,Santiago,Premier,0001000095,true,2024-08-29T00:00:00
CRM-000018,Corporativo del Golfo ,US,CDMX,Business,0001000082,true,2021-01-30T00:00:00
