MANDT,PARTNER,BKVID,BANKL,BANKN
100,0001000001,0001,059000,9831537586
100,0001000002,0001,085000,2988959421
100,0001000003,0001,050000,8769722852
100,0001000004,0001,047000,8543212017
100,0001000005,0001,051000,4532851521
100,0001000006,0001,016000,2070428553
100,0001000007,0001,092000,2592153866
100,0001000008,0001,075000,4829889165
100,0001000009,0001,029000,7937092058
100,0001000010,0001,040000,7949535766
100,0001000011,0001,002000,5041950365
100,0001000012,0001,072000,7678739801
100,0001000013,0001,093000,7982454767
100,0001000014,0001,072000,5695350700
100,0001000015,0001,087000,8791227546
100,0001000016,0001,021000,0872388764
100,0001000017,0001,067000,3231552000
100,0001000018,0001,063000,9542803641
100,0001000019,0001,097000,9017280825
100,0001000020,0001,013000,0301974618
100,0001000021,0001,067000,3495145245
100,0001000022,0001,052000,7554932382
100,0001000023,0001,055000,0363445773
100,0001000024,0001,011000,8478531112
100,0001000025,0001,019000,8241700197
100,0001000026,0001,096000,2468163096
100,0001000027,0001,020000,2588383462
100,0001000028,0001,040000,4387126186
100,0001000029,0001,068000,7933915502
100,0001000030,0001,023000,5239259317
100,0001000031,0001,026000,6460095372
100,0001000032,0001,069000,1617915709
100,0001000033,0001,072000,0950312253
100,0001000034,0001,082000,3696241592
100,0001000035,0001,011000,7114781428
100,0001000036,0001,058000,7694273937
100,0001000037,0001,039000,0170357363
100,0001000038,0001,007000,1913883675
100,0001000039,0001,019000,0069424192
100,0001000040,0001,076000,4456387348
100,0001000041,0001,024000,3728194441
100,0001000042,0001,086000,2441955287
100,0001000043,0001,004000,1676377104
100,0001000044,0001,086000,0966959092
100,0001000045,0001,018000,6863320571
100,0001000046,0001,058000,8934531146
100,0001000047,0001,063000,5126071897
100,0001000048,0001,034000,2171714568
100,0001000049,0001,075000,3624435480
100,0001000050,0001,077000,6041147489
100,0001000051,0001,083000,4343072192
100,0001000052,0001,045000,9190863328
100,0001000053,0001,006000,5087449074
100,0001000054,0001,095000,0851461533
100,0001000055,0001,026000,0781936932
100,0001000056,0001,051000,2041660221
100,0001000057,0001,017000,2236736636
100,0001000058,0001,018000,7724041023
100,0001000059,0001,088000,8641715710
100,0001000060,0001,002000,3614588965
100,0001000061,0001,056000,4603780744
100,0001000062,0001,088000,6365714606
100,0001000063,0001,004000,7677215759
100,0001000064,0001,080000,6380743654
100,0001000065,0001,086000,0779192277
100,0001000066,0001,057000,7394867771
100,0001000067,0001,021000,0803189687
100,0001000068,0001,048000,6384328673
100,0001000069,0001,008000,6198521221
100,0001000070,0001,080000,2967960072
100,0001000071,0001,073000,9725011625
100,0001000072,0001,078000,9562822748
100,0001000073,0001,016000,5184771783
100,0001000074,0001,022000,6102459547
100,0001000075,0001,020000,0734974239
100,0001000076,0001,001000,2218439036
100,0001000077,0001,024000,2864234269
100,0001000078,0001,056000,5636460941
100,0001000079,0001,017000,4809633892
100,0001000080,0001,019000,9786124749
100,0001000081,0001,084000,5635591252
100,0001000082,0001,092000,1100225790
100,0001000083,0001,056000,3310117933
100,0001000084,0001,088000,1001575924
100,0001000085,0001,072000,9401011057
100,0001000086,0001,018000,2521770620
100,0001000087,0001,071000,2060500951
100,0001000088,0001,022000,2333351129
100,0001000089,0001,002000,7337017366
100,0001000090,0001,035000,1471620148
100,0001000091,0001,020000,6345174053
100,0001000092,0001,036000,4902759887
100,0001000093,0001,046000,6001851651
100,0001000094,0001,035000,6199145546
100,0001000095,0001,089000,6987764640
100,0001000096,0001,082000,6806470353
