id,account_id,full_name,email,phone,role
CT-000001,CRM-000001,Jose Perez,p1@mail.com,5536356291,Finance
CT-000002,CRM-000001,Francisco Rivera,p2@mail.com,5559980463,Owner
CT-000003,CRM-000001,Marta Ramirez,p3@mail.com,5517754775,Owner
CT-000004,CRM-000002,Miguel Rodriguez,p4@mail.com,5563933961,Owner
CT-000005,CRM-000002,Juan Perez,p5@mail.com,5552977598,Ops
CT-000006,CRM-000002,Guadalupe Perez,p6@mail.com,5585419662,Ops
CT-000007,CRM-000003,Guadalupe Perez,p7@mail.com,5507586991,Ops
CT-000008,CRM-000003,Juan Garcia,p8@mail.com,5533779981,Procurement
CT-000009,CRM-000004,Juan Lopez,p9@mail.com,5594651971,Owner
CT-000010,CRM-000004,Ana Sanchez,p10@mail.com,5555756902,Finance
CT-000011,CRM-000005,Marta Rodriguez,p11@mail.com,5584611181,Procurement
CT-000012,CRM-000005,Carlos Perez,p12@mail.com,5541560328,Procurement
CT-000013,CRM-000006,Pedro Rodriguez,p13@mail.com,5534926871,Finance
CT-000014,CRM-000007,Rosa Garcia,p14@mail.com,5585955945,Finance
CT-000015,CRM-000007,Pedro Rivera,p15@mail.com,5544293704,Finance
CT-000016,CRM-000007,Maria Hernandez,p16@mail.com,5541968002,Procurement
CT-000017,CRM-000008,Pedro Torres,p17@mail.com,5583816208,Finance
CT-000018,CRM-000009,Juan Rodriguez,p18@mail.com,5540184787,Ops
CT-000019,CRM-000010,Francisco Perez,p19@mail.com,5565228874,Ops
CT-000020,CRM-000010,Juan Gonzalez,p20@mail.com,5537694638,Owner
CT-000021,CRM-000010,Luis Rivera,p21@mail.com,5513735923,Finance
CT-000022,CRM-000011,Pedro Lopez,p22@mail.com,5544226820,Ops
CT-000023,CRM-000011,Francisco Torres,p23@mail.com,5533985741,Owner
CT-000024,CRM-000012,Ana Garcia,p24@mail.com,5552556580,Procurement
CT-000025,CRM-000013,Rosa Sanchez,p25@mail.com,5536634277,Finance
CT-000026,CRM-000014,Miguel Flores,p26@mail.com,5555735759,Owner
CT-000027,CRM-000015,Luis Hernandez,p27@mail.com,5574792580,Finance
CT-000028,CRM-000015,Carlos Flores,p28@mail.com,5551423483,Ops
CT-000029,CRM-000015,Jose Flores,p29@mail.com,5546418552,Finance
CT-000030,CRM-000016,Miguel Torres,p30@mail.com,5525379269,Procurement
CT-000031,CRM-000017,Jose Garcia,p31@mail.com,5514234275,Procurement
CT-000032,CRM-000018,Ana Lopez,p32@mail.com,5569483785,Ops
CT-000033,CRM-000019,Miguel Torres,p33@mail.com,5527773711,Finance
CT-000034,CRM-000019,Carlos Ramirez,p34@mail.com,5547134299,Finance
CT-000035,CRM-000020,Marta Torres,p35@mail.com,5533116579,Ops
CT-000036,CRM-000020,Ana Torres,p36@mail.com,5540055211,Ops
CT-000037,CRM-000020,Miguel Gonzalez,p37@mail.com,5556078371,Ops
CT-000038,CRM-000021,Maria Lopez,p38@mail.com,5556923033,Owner
CT-000039,CRM-000021,Juan Flores,p39@mail.com,5513556058,Finance
CT-000040,CRM-000022,Juan Ramirez,p40@mail.com,5533309268,Owner
CT-000041,CRM-000022,Francisco Perez,p41@mail.com,5534471289,Procurement
CT-000042,CRM-000023,Miguel Hernandez,p42@mail.com,5586370208,Procurement
CT-000043,CRM-000023,Pedro Flores,p43@mail.com,5520806320,Procurement
CT-000044,CRM-000023,Pedro Torres,p44@mail.com,5591508241,Owner
CT-000045,CRM-000024,Juan Garcia,p45@mail.com,5597317179,Procurement
CT-000046,CRM-000024,Rosa Sanchez,p46@mail.com,5575883535,Procurement
CT-000047,CRM-000024,Juan Gonzalez,p47@mail.com,5529635579,Ops
CT-000048,CRM-000025,Jose Flores,p48@mail.com,5567210585,Procurement
CT-000049,CRM-000026,Juan Flores,p49@mail.com,5529816509,Owner
CT-000050,CRM-000026,Marta Rodriguez,p50@mail.com,5584537432,Procurement
CT-000051,CRM-000026,Juan Ramirez,p51@mail.com,5556869812,Owner
CT-000052,CRM-000027,Rosa Hernandez,p52@mail.com,5567656011,Ops
CT-000053,CRM-000027,Francisco Martinez,p53@mail.com,5541851936,Ops
CT-000054,CRM-000027,Jose Ramirez,p54@mail.com,5568682912,Owner
CT-000055,CRM-000028,Pedro Lopez,p55@mail.com,5531582776,Procurement
CT-000056,CRM-000028,Jose Martinez,p56@mail.com,5575728513,Ops
CT-000057,CRM-000029,Jose Perez,p57@mail.com,5570030247,Owner
CT-000058,CRM-000029,Francisco Flores,p58@mail.com,5538443151,Owner
CT-000059,CRM-000030,Juan Hernandez,p59@mail.com,5520744059,Ops
CT-000060,CRM-000030,Luis Martinez,p60@mail.com,5572024036,Owner
CT-000061,CRM-000030,Miguel Martinez,p61@mail.com,5512369226,Finance
CT-000062,CRM-000031,Guadalupe Rivera,p62@mail.com,5573852364,Procurement
CT-000063,CRM-000031,Jose Flores,p63@mail.com,5546916524,Ops
CT-000064,CRM-000032,Marta Hernandez,p64@mail.com,5537044561,Owner
CT-000065,CRM-000032,Ana Flores,p65@mail.com,5571839650,Finance
CT-000066,CRM-000033,Luis Rivera,p66@mail.com,5568951958,Ops
CT-000067,CRM-000034,Miguel Hernandez,p67@mail.com,5515447479,Owner
CT-000068,CRM-000034,Luis Sanchez,p68@mail.com,5595890206,Procurement
CT-000069,CRM-000035,Luis Perez,p69@mail.com,5559124993,Ops
CT-000070,CRM-000035,Marta Martinez,p70@mail.com,5504194234,Finance
CT-000071,CRM-000036,Pedro Hernandez,p71@mail.com,5550303073,Procurement
CT-000072,CRM-000037,Rosa Rodriguez,p72@mail.com,5506298900,Ops
CT-000073,CRM-000037,Francisco Flores,p73@mail.com,5507069859,Owner
CT-000074,CRM-000038,Rosa Rivera,p74@mail.com,5501055045,Finance
CT-000075,CRM-000038,Maria Perez,p75@mail.com,5530485763,Ops
CT-000076,CRM-000038,Carlos Perez,p76@mail.com,5540479236,Owner
CT-000077,CRM-000039,Juan Martinez,p77@mail.com,5527211174,Procurement
CT-000078,CRM-000039,Jose Martinez,p78@mail.com,5580898473,Procurement
CT-000079,CRM-000040,Juan Sanchez,p79@mail.com,5552117520,Finance
CT-000080,CRM-000040,Luis Lopez,p80@mail.com,5508694724,Procurement
CT-000081,CRM-000040,Juan Torres,p81@mail.com,5568134851,Owner
CT-000082,CRM-000041,Maria Ramirez,p82@mail.com,5594736416,Owner
CT-000083,CRM-000041,Jose Perez,p83@mail.com,5518675175,Procurement
CT-000084,CRM-000042,Miguel Rivera,p84@mail.com,5568677783,Procurement
CT-000085,CRM-000042,Luis Perez,p85@mail.com,5563439314,Procurement
CT-000086,CRM-000042,Rosa Flores,p86@mail.com,5520892337,Finance
CT-000087,CRM-000043,Marta Perez,p87@mail.com,5590657604,Procurement
CT-000088,CRM-000043,Jose Garcia,p88@mail.com,5553045965,Owner
CT-000089,CRM-000044,Guadalupe Garcia,p89@mail.com,5519344962,Ops
CT-000090,CRM-000044,Rosa Perez,p90@mail.com,5552589008,Ops
CT-000091,CRM-000044,Francisco Perez,p91@mail.com,5554233475,Ops
CT-000092,CRM-000045,Rosa Sanchez,p92@mail.com,5503826187,Finance
CT-000093,CRM-000045,Maria Martinez,p93@mail.com,5534339683,Ops
CT-000094,CRM-000045,Pedro Torres,p94@mail.com,5594745476,Procurement
CT-000095,CRM-000046,Jose Ramirez,p95@mail.com,5538612686,Owner
CT-000096,CRM-000046,Luis Gonzalez,p96@mail.com,5596514309,Finance
CT-000097,CRM-000047,Luis Garcia,p97@mail.com,5540547082,Finance
CT-000098,CRM-000048,Rosa Gonzalez,p98@mail.com,5597804048,Ops
