MANDT,ACCT,PARTNER,PRODUCT,WAERS,OPEN_DATE,STATUS,LOEVM
100,000050000001,0001000001,SAV,MXN,20230409,A,
100,000050000002,0001000002,SAV,MXN,20221024,A,
100,000050000003,0001000002,MMA,MXN,20201215,A,
100,000050000004,0001000003,DDA,MXN,20240530,A,
100,000050000005,0001000004,MMA,MXN,20211111,A,
100,000050000006,0001000004,DDA,USD,20210507,A,
100,000050000007,0001000005,SAV,USD,20220523,A,
100,000050000008,0001000005,DDA,MXN,20200512,A,
100,000050000009,0001000006,DDA,MXN,20230418,A,
100,000050000010,0001000007,SAV,MXN,20220408,A,
100,000050000011,0001000008,MMA,MXN,20210813,A,
100,000050000012,0001000009,DDA,USD,20241129,A,
100,000050000013,0001000009,MMA,MXN,20221226,A,
100,000050000014,0001000010,MMA,MXN,20210310,A,
100,000050000015,0001000011,DDA,MXN,20240831,A,
100,000050000016,0001000012,MMA,MXN,20211112,A,
100,000050000017,0001000012,DDA,MXN,20240507,A,
100,000050000018,0001000013,SAV,MXN,20230316,A,
100,000050000019,0001000014,SAV,MXN,20240605,A,
100,000050000020,0001000015,SAV,MXN,20240830,A,
100,000050000021,0001000016,MMA,MXN,20210601,A,
100,000050000022,0001000017,DDA,MXN,20230301,A,
100,000050000023,0001000018,DDA,USD,20211106,A,
100,000050000024,0001000019,DDA,MXN,20221231,A,
100,000050000025,0001000019,DDA,MXN,20211025,A,
100,000050000026,0001000020,DDA,USD,20210317,A,
100,000050000027,,DDA,MXN,20210123,A,
100,000050000028,0001000021,SAV,MXN,20201016,A,
100,000050000029,0001000022,SAV,JPY,20230223,A,
100,000050000030,0001000023,MMA,MXN,20230125,A,
100,000050000031,0001000024,DDA,MXN,20220505,A,
100,000050000032,0001000024,SAV,CLP,20221119,A,
100,000050000033,0001000025,DDA,MXN,20230922,A,
100,000050000034,0001000026,SAV,CLP,20230330,A,
100,000050000035,0001000026,MMA,MXN,20230114,A,
100,000050000036,0001000027,DDA,MXN,20200310,A,
100,000050000037,0001000028,MMA,MXN,20231128,A,
100,000050000038,0001000029,DDA,MXN,20201124,A,
100,000050000039,0001000030,SAV,MXN,20231218,A,
100,000050000040,0001000031,SAV,MXN,20240817,A,
100,000050000041,0001000031,DDA,MXN,20211228,A,
100,000050000042,0001000032,SAV,MXN,20220622,A,
100,000050000043,0001000033,MMA,MXN,20200920,A,
100,000050000044,0001000034,MMA,MXN,20231230,A,
100,000050000045,0001000034,MMA,MXN,20230711,A,
100,000050000046,0001000034,DDA,MXN,20230416,A,
100,000050000047,0001000035,DDA,USD,20240504,A,
100,000050000048,0001000035,DDA,MXN,20240412,A,
100,000050000049,0001000036,DDA,MXN,20230510,A,
100,000050000050,0001000036,MMA,MXN,20230313,A,
100,000050000051,0001000037,SAV,MXN,20200611,A,
100,000050000052,0001000037,MMA,MXN,20210702,A,
100,000050000053,0001000038,MMA,CLP,20220625,A,
100,000050000054,0001000039,DDA,USD,20231023,A,
100,000050000055,0001000039,SAV,MXN,20220117,A,
100,000050000056,0001000040,DDA,MXN,20200523,A,
100,000050000057,0001000041,DDA,MXN,20210924,A,
100,000050000058,0001000042,SAV,USD,20230709,A,
100,000050000059,0001000043,MMA,USD,20240514,C,X
100,000050000060,0001000044,DDA,MXN,20220820,A,
100,000050000061,0001000044,MMA,MXN,20240306,A,
100,000050000062,0001000045,MMA,MXN,20240922,A,
100,000050000063,0001000045,MMA,MXN,20200223,A,
100,000050000064,0001000046,SAV,USD,20220126,A,
100,000050000065,0001000046,SAV,MXN,20230927,A,
100,000050000066,0001000047,MMA,USD,20200401,A,
100,000050000067,0001000047,DDA,MXN,20211126,A,
100,000050000068,0001000048,MMA,MXN,20200213,A,
100,000050000069,0001000049,MMA,CLP,20210315,A,
100,000050000070,0001000050,MMA,MXN,20230913,A,
100,000050000071,0001000051,MMA,CLP,20240715,A,
100,000050000072,0001000052,DDA,MXN,20210720,A,
100,000050000073,0001000053,SAV,MXN,20200411,A,
100,000050000074,0001000054,DDA,MXN,20230512,A,
100,000050000075,0001000055,SAV,USD,20221004,A,
100,000050000076,0001000056,SAV,MXN,20231211,C,X
100,000050000077,0001000057,SAV,JPY,20210623,A,
100,000050000078,0001000058,MMA,MXN,20201022,A,
100,000050000079,0001000059,SAV,MXN,20200917,A,
100,000050000080,0001000060,SAV,JPY,20240427,A,
100,000050000081,0001000060,DDA,MXN,20240422,A,
100,000050000082,0001000061,SAV,MXN,20221120,A,
100,000050000083,0001000062,MMA,USD,20230810,A,
100,000050000084,0001000063,DDA,MXN,20210608,A,
100,000050000085,0001000064,DDA,JPY,20221207,A,
100,000050000086,0001000065,SAV,MXN,20240428,A,
100,000050000087,,DDA,MXN,20240403,A,
100,000050000088,0001000066,SAV,USD,20240318,A,
100,000050000089,0001000067,SAV,CLP,20200626,A,
100,000050000090,0001000068,DDA,USD,20230103,A,
100,000050000091,0001000069,MMA,JPY,20230822,A,
100,000050000092,0001000069,SAV,MXN,20200206,A,
100,000050000093,0001000070,MMA,CLP,20210810,A,
100,000050000094,0001000070,MMA,USD,20240107,A,
100,000050000095,0001000071,SAV,MXN,20200214,A,
100,000050000096,0001000071,DDA,USD,20220504,A,
100,000050000097,0001000072,MMA,MXN,20240329,A,
100,000050000098,0001000072,DDA,MXN,20220510,C,X
100,000050000099,0001000072,SAV,USD,20230813,A,
100,000050000100,0001000073,DDA,MXN,20200126,A,
100,000050000101,0001000074,MMA,USD,20240206,A,
100,000050000102,0001000074,SAV,MXN,20200910,A,
100,000050000103,0001000075,MMA,MXN,20240519,A,
100,000050000104,0001000075,DDA,MXN,20201002,A,
100,000050000105,0001000076,MMA,MXN,20211120,A,
100,000050000106,0001000077,DDA,USD,20221114,A,
100,000050000107,0001000078,SAV,MXN,20220311,A,
100,000050000108,0001000079,MMA,CLP,20240116,A,
100,000050000109,0001000080,SAV,MXN,20221206,A,
100,000050000110,0001000081,SAV,MXN,20220105,A,
100,000050000111,0001000082,DDA,MXN,20240505,A,
100,000050000112,0001000082,DDA,MXN,20210107,A,
100,000050000113,0001000083,MMA,MXN,20230915,A,
100,000050000114,0001000084,SAV,MXN,20210112,A,
100,000050000115,0001000085,DDA,JPY,20230330,A,
100,000050000116,0001000086,MMA,MXN,20241108,A,
100,000050000117,0001000087,SAV,MXN,20240203,A,
100,000050000118,0001000088,SAV,JPY,20240330,A,
100,000050000119,0001000089,DDA,MXN,20220424,A,
100,000050000120,0001000089,DDA,MXN,20230914,A,
100,000050000121,0001000089,MMA,MXN,20240620,A,
100,000050000122,0001000090,SAV,MXN,20220930,A,
100,000050000123,0001000090,MMA,MXN,20221124,A,
100,000050000124,0001000091,SAV,MXN,20201115,A,
100,000050000125,0001000091,SAV,MXN,20230520,A,
100,000050000126,0001000092,MMA,MXN,20221127,A,
100,000050000127,0001000093,SAV,JPY,20200622,A,
100,000050000128,0001000094,MMA,USD,20230320,A,
100,000050000129,0001000094,MMA,MXN,20220430,A,
100,000050000130,0001000095,DDA,MXN,20240323,A,
100,000050000131,0001000096,DDA,MXN,20200412,A,
100,000050000132,0001000096,DDA,MXN,20210623,A,
100,000050000133,0001000097,DDA,MXN,20231202,A,
100,000050000134,0001000098,MMA,USD,20231020,A,
100,000050000135,0001000098,MMA,MXN,20220928,A,
100,000050000136,0001000099,SAV,USD,20240325,A,
100,000050000137,0001000099,MMA,MXN,20201230,A,
100,000050000138,0001000100,SAV,JPY,20220815,A,
100,000050000139,0001000101,MMA,MXN,20220806,A,
100,000050000140,0001000102,MMA,MXN,20221103,A,
100,000050000141,0001000103,MMA,MXN,20220217,A,
100,000050000142,0001000103,DDA,USD,20240912,C,X
100,000050000143,0001000104,DDA,MXN,20200309,A,
100,000050000144,0001000105,MMA,MXN,20230807,A,
100,000050000145,0001000106,MMA,MXN,20221028,A,
100,000050000146,0001000107,DDA,MXN,20240630,A,
100,000050000147,0001000107,SAV,MXN,20220512,A,
100,000050000148,0001000108,SAV,MXN,20210504,A,
100,000050000149,0001000108,SAV,MXN,20201211,A,
100,000050000150,0001000109,DDA,MXN,20240915,A,
100,000050000151,0001000110,DDA,MXN,20210728,A,
100,000050000152,0001000110,SAV,MXN,20240910,A,
100,000050000153,0001000111,SAV,MXN,20211219,A,
100,000050000154,0001000112,DDA,MXN,20220606,A,
100,000050000155,0001000112,DDA,USD,20240724,A,
100,000050000156,0001000113,MMA,MXN,20221015,A,
100,000050000157,0001000114,SAV,MXN,20210224,A,
100,000050000158,0001000115,SAV,MXN,20230201,A,
100,000050000159,0001000116,SAV,USD,20230828,A,
100,000050000160,0001000117,MMA,MXN,20200108,A,
