MANDT,ACCT,ITEM_NO,POST_DATE,VALUT,AMOUNT,WAERS,DC_IND,TEXT
100,000050000001,000001,20221231,20240225,609828,MXN,H,Deposito
100,000050000001,000002,20210322,20200101,609645,MXN,S,Transferencia
100,000050000001,000003,20200319,20241123,2772269,MXN,S,Retiro
100,000050000001,000004,20230422,20230422,3422094,MXN,H,Pago
100,000050000001,000005,20220711,20211127,2838364,MXN,S,Comision
100,000050000001,000006,20221213,20240110,2972629,MXN,H,Pago
100,000050000001,000007,20220815,20231009,1803407,MXN,S,Deposito
100,000050000001,000008,20211026,20210816,2542006,MXN,S,Deposito
100,000050000001,000009,20230801,20241117,1075815,MXN,H,Comision
100,000050000001,000010,20241111,20240304,3513930,MXN,H,Deposito
100,000050000001,000011,20210109,20240327,248713,MXN,S,Pago
100,000050000001,000012,20200429,20210601,1558860,MXN,S,Retiro
100,000050000002,000001,20211021,20220608,3804788,MXN,S,Transferencia
100,000050000002,000002,20220101,20240124,3809707,MXN,H,Transferencia
100,000050000002,000003,20220705,20211217,1411938,MXN,S,Pago
100,000050000002,000004,20200119,20231228,757485,MXN,H,Retiro
100,000050000002,000005,20220515,20210321,4399587,MXN,S,Comision
100,000050000002,000006,20210724,20210622,2369373,MXN,S,Comision
100,000050000002,000007,20220325,20210222,2825593,MXN,S,Comision
100,000050000003,000001,20240611,20231121,3220710,MXN,H,Deposito
100,000050000003,000002,20231203,20210212,4674088,MXN,S,Deposito
100,000050000003,000003,20201127,20200606,670633,MXN,H,Deposito
100,000050000003,000004,20240624,20210418,2776660,MXN,S,Retiro
100,000050000003,000005,20210619,20200121,3986492,MXN,S,Transferencia
100,000050000003,000006,20240420,20220620,4728141,MXN,S,Transferencia
100,000050000003,000007,20211014,20200604,2548802,MXN,H,Pago
100,000050000003,000008,20200318,20230128,3914860,MXN,H,Comision
100,000050000003,000009,20221230,20200516,2900631,MXN,S,Deposito
100,000050000003,000010,20240416,20210723,4737781,MXN,S,Comision
100,000050000003,000011,20230323,20220909,335383,MXN,S,Pago
100,000050000003,000012,20240619,20220330,1711238,MXN,H,Retiro
100,000050000003,000013,20230417,20211027,4543348,MXN,H,Transferencia
100,000050000003,000014,20240731,20210908,1976425,MXN,S,Deposito
100,000050000003,000015,20210811,20231031,4520830,MXN,S,Pago
100,000050000003,000016,20200818,20210917,4289623,MXN,H,Transferencia
100,000050000004,000001,20210405,20240703,4891593,MXN,S,Transferencia
100,000050000004,000002,20220704,20240910,483165,MXN,S,Transferencia
100,000050000004,000003,20211007,20210812,2586042,MXN,S,Pago
100,000050000004,000004,20231012,20210710,1045141,MXN,H,Deposito
100,000050000004,000005,20200312,20241126,3470511,MXN,H,Deposito
100,000050000004,000006,20210417,20240816,324749,MXN,H,Deposito
100,000050000004,000007,20210104,20220630,2806930,MXN,S,Pago
100,000050000004,000008,20210512,20200612,3744847,MXN,H,Deposito
100,000050000004,000009,20230504,20240212,1683476,MXN,S,Deposito
100,000050000005,000001,20210616,20210725,2417864,MXN,H,Retiro
100,000050000005,000002,20221119,20210817,3049568,MXN,S,Pago
100,000050000005,000003,20220205,20200110,3736675,MXN,H,Retiro
100,000050000005,000004,20200816,20200524,1278400,MXN,H,Comision
100,000050000005,000005,20200127,20200112,4046117,MXN,H,Comision
100,000050000005,000006,20210319,20211025,4056416,MXN,H,Pago
100,000050000005,000007,20201007,20201107,4321633,MXN,S,Deposito
100,000050000005,000008,20210909,20201031,1618504,MXN,S,Transferencia
100,000050000005,000009,20220824,20220503,3024315,MXN,H,Transferencia
100,000050000005,000010,20220818,20221230,3614409,MXN,S,Comision
100,000050000005,000011,20230802,20200804,3239769,MXN,S,Retiro
100,000050000005,000012,20240118,20201223,974433,MXN,S,Retiro
100,000050000005,000013,20241127,20240119,2237812,MXN,H,Comision
100,000050000005,000014,20200810,20200820,190241,MXN,S,Deposito
100,000050000005,000015,20200228,20240926,4565476,MXN,S,Retiro
100,000050000006,000001,20220914,20200525,1017155,USD,S,Comision
100,000050000006,000002,20230116,20240129,833876,USD,S,Transferencia
100,000050000006,000003,20201031,20200831,3389575,USD,H,Deposito
100,000050000006,000004,20240520,20220128,3345109,USD,S,Retiro
100,000050000006,000005,20211224,20200628,1438429,USD,H,Transferencia
100,000050000006,000006,20211021,20230122,4573219,USD,H,Retiro
100,000050000006,000007,20201222,20220411,4695542,USD,H,Pago
100,000050000006,000008,20220420,20230219,2311515,USD,S,Retiro
100,000050000006,000009,20221117,20210915,4051196,USD,S,Comision
100,000050000006,000010,20240929,20220511,3165999,USD,H,Comision
100,000050000006,000011,20240609,20211122,3836394,USD,H,Pago
100,000050000007,000001,20201002,20240526,4815485,USD,H,Comision
100,000050000007,000002,20210514,20220604,1593510,USD,H,Transferencia
100,000050000007,000003,20231207,20230522,3810897,USD,S,Retiro
100,000050000007,000004,20231019,20230316,4928499,USD,S,Deposito
100,50000007,000005,20240630,20240118,529591,USD,H,Retiro
100,000050000007,000006,20221207,20200406,4374195,USD,H,Comision
100,000050000007,000007,20200918,20221216,4777857,USD,S,Transferencia
100,000050000008,000001,20240914,20230403,1863856,MXN,S,Retiro
100,000050000008,000002,20240716,20230206,4076903,MXN,S,Transferencia
100,000050000008,000003,20200401,20220419,2273567,MXN,H,Transferencia
100,000050000008,000004,20210101,20241129,3843347,MXN,S,Pago
100,000050000008,000005,20210103,20200329,486218,MXN,S,Comision
100,000050000008,000006,20200731,20241127,188294,MXN,S,Deposito
100,000050000008,000007,20210604,20230516,1374640,MXN,S,Deposito
100,000050000008,000008,20240522,20211130,913530,MXN,H,Comision
100,000050000008,000009,20230914,20240831,501229,MXN,S,Retiro
100,000050000008,000010,20220316,20210306,2631477,MXN,S,Deposito
100,000050000008,000011,20230714,20211102,680481,MXN,H,Comision
100,000050000008,000012,20200117,20230127,2108863,MXN,H,Comision
100,000050000008,000013,20220215,20210924,4976865,MXN,H,Comision
100,000050000008,000014,20230628,20220817,1464894,MXN,H,Comision
100,000050000008,000015,20230701,20200611,893719,MXN,H,Comision
100,000050000008,000016,20240628,20230330,2836865,MXN,S,Comision
100,000050000009,000001,20210916,20240822,1929956,MXN,S,Retiro
100,000050000009,000002,20240911,20210723,545124,MXN,H,Pago
100,000050000009,000003,20230627,20240604,1928113,MXN,H,Deposito
100,000050000009,000004,20201220,20200617,963013,MXN,S,Deposito
100,000050000009,000005,20241126,20240221,1642641,MXN,H,Transferencia
100,000050000009,000006,20230211,20231105,4803988,MXN,S,Pago
100,000050000009,000007,20200124,20230812,2456609,MXN,H,Comision
100,000050000009,000008,20220729,20240721,306060,MXN,S,Transferencia
100,000050000009,000009,20200309,20201022,4523472,MXN,S,Deposito
100,000050000009,000010,20200612,20200825,4164145,MXN,S,Retiro
100,000050000009,000011,20210809,20210214,1276134,MXN,S,Deposito
100,000050000009,000012,20210717,20210508,4512557,MXN,S,Deposito
100,000050000009,000013,20200529,20230222,1050077,MXN,H,Deposito
100,000050000009,000014,20240211,20200913,1426698,MXN,H,Deposito
100,000050000010,000001,20200617,20220516,326753,MXN,H,Pago
100,000050000010,000002,20240929,20210423,4851132,MXN,H,Retiro
100,000050000010,000003,20230807,20220211,3171784,MXN,S,Pago
100,000050000010,000004,20211113,20200813,235328,MXN,H,Retiro
100,000050000010,000005,20240109,20200424,4466481,MXN,S,Retiro
100,000050000010,000006,20200416,20240504,2118449,MXN,S,Comision
100,000050000010,000007,20211104,20231221,3848211,MXN,S,Deposito
100,000099000114,000008,20210324,20201023,4618125,MXN,S,Comision
100,000050000010,000009,20220124,20240606,2203526,MXN,H,Transferencia
100,000050000010,000010,20200315,20240322,313830,MXN,H,Deposito
100,000050000010,000011,20201013,20200706,1450125,MXN,H,Pago
100,000050000010,000012,20200329,20240408,2898927,MXN,S,Pago
100,000050000010,000013,20220507,20221130,4011569,MXN,H,Pago
100,000050000010,000014,20201120,20200316,1266866,MXN,S,Retiro
100,000050000010,000015,20230616,20220522,520180,MXN,H,Retiro
100,000050000010,000016,20201204,20200320,2612499,MXN,H,Retiro
100,000050000011,000001,20201209,20200528,1462816,MXN,S,Comision
100,000050000011,000002,20210122,20220703,300098,MXN,H,Comision
100,000050000011,000003,20240105,20220727,880693,MXN,S,Deposito
100,000050000011,000004,20241029,20240304,747518,MXN,S,Transferencia
100,000050000011,000005,20221122,20220712,2325857,MXN,S,Pago
100,000050000011,000006,20221113,20220314,3180042,MXN,H,Retiro
100,000050000011,000007,20200202,20200519,4270078,MXN,H,Retiro
100,000050000011,000008,20240422,20210520,1962660,MXN,H,Transferencia
100,000050000011,000009,20230429,20240109,1851533,MXN,H,Transferencia
100,000050000011,000010,20201106,20241008,3695641,MXN,S,Comision
100,000050000011,000011,20240423,20221205,3915597,MXN,S,Pago
100,000050000011,000012,20230208,20230627,1884446,MXN,H,Comision
100,000050000011,000013,20230401,20240824,199043,MXN,S,Deposito
100,000050000012,000001,20210817,20210508,4381950,USD,H,Comision
100,000050000012,000002,20211221,20210319,428944,USD,H,Transferencia
100,000050000012,000003,20201126,20210904,4367982,USD,H,Comision
100,000050000012,000004,20230731,20230804,694559,USD,H,Transferencia
100,000050000012,000005,20240110,20200828,478832,USD,S,Comision
100,000050000012,000006,20200110,20210531,3415185,USD,S,Comision
100,000050000012,000007,20220413,20220409,418300,USD,H,Comision
100,000050000012,000008,20210320,20200605,4926446,USD,S,Retiro
100,000050000012,000009,20210409,20211218,2405911,USD,H,Retiro
100,000050000013,000001,20200323,20220114,2717115,MXN,H,Retiro
100,000050000013,000002,20211102,20201231,1752421,MXN,S,Retiro
100,000050000013,000003,20210107,20200501,1491341,MXN,S,Comision
100,000050000013,000004,20211123,20240731,437804,MXN,H,Comision
100,000050000013,000005,20211020,20200304,28588,MXN,H,Comision
100,000050000014,000001,20201016,20210113,1862771,MXN,H,Retiro
100,000050000014,000002,20231010,20210420,3919970,MXN,S,Deposito
100,000050000014,000003,20240321,20201124,751617,MXN,S,Transferencia
100,000050000014,000004,20220427,20240725,3262746,MXN,H,Deposito
100,000050000014,000005,20210313,20221026,1271729,MXN,H,Pago
100,000050000014,000006,20210406,20240118,2339090,MXN,S,Transferencia
100,000050000014,000007,20240612,20230802,1212248,MXN,S,Comision
100,000050000014,000008,20230910,20210802,1079454,MXN,H,Transferencia
100,000050000014,000009,20200602,20230306,4324865,MXN,H,Retiro
100,000050000014,000010,20240122,20230702,1388660,MXN,S,Deposito
100,000050000014,000011,20221231,20211008,2385664,MXN,S,Pago
100,000050000014,000012,20220913,20230403,4396714,MXN,S,Comision
100,000050000014,000013,20230313,20200404,2760818,MXN,H,Pago
100,000050000015,000001,20230719,20210816,418382,MXN,S,Retiro
100,000050000015,000002,20210528,20230420,2135711,MXN,H,Transferencia
100,000050000015,000003,20210609,20220523,3321536,MXN,S,Comision
100,000050000015,000004,20230925,20210106,2960918,MXN,S,Pago
100,000050000015,000005,20240505,20240813,4802647,MXN,H,Deposito
100,000050000015,000006,20200325,20240503,2297775,MXN,S,Pago
100,000050000015,000007,20200618,20221115,2615324,MXN,S,Deposito
100,000050000015,000008,20240417,20210505,3307745,MXN,S,Deposito
100,000050000015,000009,20230922,20220528,1682139,MXN,S,Pago
100,000050000015,000010,20200906,20200306,3103088,MXN,S,Pago
100,000050000015,000011,20230116,20210410,2561882,MXN,S,Pago
100,000050000016,000001,20240209,20200524,3896808,MXN,S,Comision
100,000050000016,000002,20200628,20221130,4629281,MXN,H,Retiro
100,000050000016,000003,20240826,20220803,2076248,MXN,H,Deposito
100,000050000016,000004,20201004,20200126,4403581,MXN,H,Pago
100,000050000016,000005,20200817,20231007,4571693,MXN,S,Retiro
100,000050000016,000006,20231230,20220502,2059250,MXN,H,Pago
100,000050000016,000007,20231229,20210819,3910193,MXN,H,Retiro
100,000050000016,000008,20220329,20210704,1500430,MXN,H,Pago
100,000050000016,000009,20210906,20240720,3575849,MXN,H,Retiro
