MANDT,PARTNER,TYPE,NAME_ORG1,NAME_FIRST,NAME_LAST,LAND1,XDELE,CRDAT
100,0001000001,2,Corporativo del Golfo SA de CV,,,CL,,20230528
100,0001000002,2,Transportes Azteca SAPI de CV,,,US,,20200409
100,0001000003,2,Comercial del Golfo SA,,,MX,,20240618
100,0001000004,2,Banco Regio S.A.,,,MX,,20230206
100,0001000005,2,Industrias del Pacifico,,,MX,,20230602
100,0001000006,2,Comercial Azteca SAPI de CV,,,US,,20240125
100,0001000007,1,,Juan,Lopez Hernandez,MX,,20230215
100,0001000008,1,,Pedro,Hernandez Lopez,CL,,20200708
100,0001000009,1,,Luis,Garcia Garcia,MX,X,20221224
100,0001000010,2,Distribuidora del Golfo SA de CV,,,US,,20220507
100,0001000011,1,,Marta,Lopez Rodriguez,MX,,20231206
100,0001000012,2,Grupo Regio SA de CV,,,US,,20240309
100,0001000013,1,,Jose,Rodriguez Perez,MX,,20200814
100,0001000014,1,,Jose,Martinez Lopez,MX,,20200510
100,0001000015,1,,Luis,Gonzalez Rivera,US,,20221109
100,0001000016,2,Grupo Azteca SAPI de CV,,,MX,,20241119
100,0001000017,2,Grupo Latina SA,,,MX,,20221107
100,0001000018,2,Banco del Bajio SAPI de CV,,,MX,,20220430
100,0001000019,2,Transportes Continental SA de CV,,,US,,20241031
100,0001000020,2,Comercial del Pacifico S.A.,,,CL,X,20201110
100,0001000021,1,,Rosa,Perez Martinez,US,,20231031
100,0001000022,2,Industrias del Bajio S.A. de C.V.,,,CL,,20240618
100,0001000023,2,Constructora del Golfo SA,,,MX,X,20230313
100,0001000024,2,Industrias del Golfo S.A. de C.V.,,,US,,20221208
100,0001000025,1,,Francisco,Rodriguez Ramirez,MX,,20221218
100,0001000026,2,Grupo Azteca SA de CV,,,CL,,20240410
100,0001000027,2,Inmobiliaria Central SA,,,MX,,20231009
100,0001000028,1,,Luis,Rivera Sanchez,US,,20241124
100,0001000029,1,,Maria,Lopez Rivera,CL,,20240801
100,0001000030,2,Comercial del Bajio SA,,,US,,20200918
100,0001000031,2,Corporativo del Golfo,,,MX,,20220913
100,0001000032,1,,Maria,Hernandez Rodriguez,CL,,20211114
100,0001000033,2,Servicios Continental S.A. de C.V.,,,CL,,20230722
100,0001000034,2,Distribuidora Continental S.A. de C.V.,,,MX,,20211111
100,0001000035,1,,Miguel,Garcia Ramirez,US,,20210531
100,0001000036,1,,Rosa,Sanchez Garcia,US,,20240924
100,0001000037,1,,Guadalupe,Rivera Flores,MX,,20210728
100,0001000038,2,Constructora Latina S.A.,,,MX,,20211111
100,0001000039,1,,Maria,Ramirez Perez,MX,,20231203
100,0001000040,1,,Guadalupe,Rivera Martinez,US,,20200813
100,0001000041,1,,Guadalupe,Rivera Ramirez,MX,,20221003
100,0001000042,2,Comercial del Norte SA,,,MX,,20240424
